"- NdT Annuels, liés aux ères etaux époques",,
+10,"Un Soleil - Un Cycle solaire entier
...de 365 Jours ou 300 Jours de Labeur","Le cycle solaire complet. Chaque Année, le Soleil et 8 Lunes se retrouvent. Divisée en 72 Pentaines | 24 Héliorées | 8 Saisons | 4 Cycle | 2 Solstices."
"- NdT Calendaires, liés aux cycles et rythmes de la nature",,
+9,"Un Cycle - A|Descendant, Dormant
...de 120 Jours ou 100J de Labeur","Chaque trois Saisons forment un Cycle, révélant les évolutions des températures. “L’Ascendant” va frais printanier au pic chaud estival, puis “le Descendant” passe de cette chaleur au froid automnale alors que “le Dormant” traverse le gel hivernal jusqu’au retour doux du printemps.  "
+8,"Une (S)aison - Début/Fin d’Été|Etc...
...de 3 Héliorées (45J) ou 30J de Labeur",Chaque trois Héliorées constituent une Saison (de 45-50 jours) révélant la nature en célébrant les équinoxes et solstices. On les nommes aussi “petit/grand” ou “début/fin” de printemps/été/automne/hiver (qui ensemble correspondent directement aux équinoxes et solstices).
+7,"Un (H)éliorée - Un vague saisonnière
... de 3 Pentaines (15J) ou 10J de Labeur","Une Héliorée est liée à différents cycles solaire et lunaires, et est aussi appelé quinzaine (car constitués de 15 jours). Ils reflètent les transitions d’une saison à l’autre, une Héliorée démontre telle une microsaison, un phénomène naturel y étant soudainement observable."
+6,"Une (P)entaine - Un Festival
...de 5 Jours|Fêtes (~3 Jours de Labeur)","Un Festival dure 5 à 6 Fêtes (5-6 jours entiers) et correspond à une “semaine” de 5 à 6 jours, appelée aussi “pentaine”. 1. Enêmar, 2. Diêmar, 3. Triêmar, 4. Tessêmar, 5. Pentêmar, et parfois 6. Heliêmar."
"- NdT Journaliers, de la vie en société et des besoins de chacun",,
+5,"Un (J)our - Une Fête
...de 3 Matin(ée)s de Labeur et 1 Nuitée","Une Fête dure un jour entier, l’entiéreté englobant la matinée, la soirée  (la journée étant entre les deux) et la nuitée. "
+4,"Une (M)atinée - |Soirée|Nuitée
...de 3 Veillées|Rituels (environ 8h)","Un Festin dure moins de 8 heures, correspondant au quotidien à une des quatre parties d’un jour. On peut interchanger “3 matinées/soirées/nuitées”. Un Festin comporte 3 Rituels en général, trois séries d’activités"
+3,"Une Veillée - Un Rituel
... de 3 Moments|Rites (environ 3h)","Un Rituel dure 2-3 heures (2h30), et correspond à une série d’activités (de “Rites”), trois en général, ou alors en agissant sur le long terme (“Faire 2” lors d’une action)."
"- NdT Étendus, des actions quotidiennes répétées ou faites sans tension",,
+2,"Un e Heure- Un Rite
...de 3 Moments|Sermons (environ 1h)","Un Rite prend moins d’1 heure (45min), pour y faire une activité (plusieurs séries d’actions) tels que 3 Sermons."
+1,"Un Moment - Un Sermon
...de 3 Instants|Prières (environ 20min)","Un Sermon prend un moment de moins de 20 minutes (15 minutes), pour y pouvant inclure 3 Prières, ou alors prendre un peu de temps pour une action (“Faire 1”)."
0,"Un (I)nstant - Une Prière
...de 300 Clins et plus (1 à 15 min)","Une Prière dure pendant un instant d’environ 5 minutes, et correspond à une action plus ou moins étendue où l’on y prendrait son temps (“Faire 0” )."
-1,"Un Échange - Une Pensée
...de 100 Clins (30 secondes)","Un Échange dure 30 secondes ou 100 Clins, telle une rixe ou une Action Étendue."
-2,"Un e Salutation- Une Idée
...de 30 Clins (10 secondes)","Une Salutation dure 10 secondes ou 30 Clins, telle une salutation ou une Action Complexe."
"- NdT Intenses, correspondant directement aux actions elles-mêmes et/ou liées aux réactions dans l'extrême.",,
-3,"Une Respiration - Une Action Simple
...de 10 Clins (3 secondes)","Un Respiration dure trois secondes (inspirant ou expirant) ou 10 Clins d’œils, telle un désir ou une Action simple."
-4,"Un Souffle - Une Action Libre
...de 3 Clins|Réactions (1 seconde)",Un Souffle se fait en une seconde ou 3 Clins d’œils telle une Action libre ou un besoin
-5,"Un (C)lin - Une Réaction
...de 1 “Tiers-de-seconde” (0.33 seconde)","Un Clin (d’œil) est le temps de réaction humanoïde, l’instinct et les 
réflexes, et correspond à un “tiers-de-seconde”."
